# freq	REsusc	std_dev_REsusc	IMsusc	std_dev_IMsusc
1.000000000000000048e-04	7.829999999999999716e+01	1.565999999999999837e+00	4.020000000000000240e-01	1.205999999999999954e-02
1.499999999999999869e-04	7.829999999999999716e+01	1.565999999999999837e+00	5.749999999999999556e-01	1.724999999999999797e-02
2.999999999999999737e-04	7.829999999999999716e+01	1.565999999999999837e+00	1.189999999999999947e+00	3.569999999999999563e-02
4.000000000000000192e-04	7.829999999999999716e+01	1.565999999999999837e+00	1.550000000000000044e+00	4.650000000000000661e-02
5.999999999999999474e-04	7.829999999999999716e+01	1.565999999999999837e+00	2.479999999999999982e+00	7.439999999999999392e-02
6.599999999999999964e-04	7.829999999999999716e+01	1.565999999999999837e+00	2.729999999999999982e+00	9.554999999999999605e-02
1.050000000000000152e-03	7.820000000000000284e+01	1.564000000000000057e+00	4.459999999999999964e+00	1.560999999999999888e-01
1.399999999999999986e-03	7.790000000000000568e+01	2.337000000000000188e-01	5.639999999999999680e+00	1.973999999999999921e-01
1.699999999999999905e-03	7.692000000000000171e+01	1.153799999999999937e+00	6.639999999999999680e+00	2.124800000000000022e-01
1.899999999999999996e-03	7.790000000000000568e+01	2.337000000000000188e-01	7.129999999999999893e+00	2.495499999999999940e-01
2.049999999999999739e-03	7.643999999999999773e+01	1.146600000000000064e+00	7.919999999999999929e+00	1.980000000000000093e-01
2.500000000000000052e-03	7.665999999999999659e+01	1.149899999999999922e+00	9.400000000000000355e+00	2.349999999999999867e-01
3.000000000000000062e-03	7.579999999999999716e+01	8.338000000000000966e-01	1.100000000000000000e+01	3.850000000000000089e-01
3.922000000000000139e-03	7.570000000000000284e+01	7.570000000000000062e-01	1.430000000000000071e+01	4.289999999999999925e-01
4.000000000000000083e-03	7.492000000000000171e+01	1.123799999999999910e+00	1.443999999999999950e+01	3.609999999999999876e-01
4.449999999999999963e-03	7.448999999999999488e+01	1.117349999999999843e+00	1.555000000000000071e+01	5.131499999999999950e-01
5.300000000000000024e-03	7.309999999999999432e+01	7.309999999999999831e-01	1.869999999999999929e+01	5.610000000000000542e-01
5.305999999999999953e-03	7.309999999999999432e+01	7.309999999999999831e-01	1.869999999999999929e+01	1.869999999999999996e-01
5.349999999999999721e-03	7.323000000000000398e+01	1.098449999999999926e+00	1.841000000000000014e+01	4.602499999999999925e-01
5.433000000000000329e-03	7.309999999999999432e+01	7.309999999999999831e-01	1.930000000000000071e+01	1.930000000000000049e-01
5.536000000000000122e-03	7.270000000000000284e+01	7.269999999999999796e-01	1.939999999999999858e+01	1.940000000000000058e-01
5.637999999999999783e-03	7.259999999999999432e+01	7.259999999999999787e-01	1.980000000000000071e+01	1.980000000000000093e-01
5.799999999999999600e-03	7.257999999999999829e+01	1.088700000000000001e+00	1.964999999999999858e+01	5.305499999999999661e-01
5.852999999999999696e-03	7.229999999999999716e+01	7.229999999999999760e-01	2.039999999999999858e+01	2.039999999999999869e-01
6.000000000000000125e-03	7.190000000000000568e+01	7.189999999999999725e-01	2.060000000000000142e+01	2.059999999999999887e-01
6.145000000000000288e-03	7.150000000000000000e+01	7.149999999999999689e-01	2.110000000000000142e+01	2.109999999999999931e-01
